CUIs,clinvar_trait
C1275126,tnf receptor-associated periodic fever syndrome (traps)
C1275685,avellino corneal dystrophy
C1275808,congenital central hypoventilation
C1276035,fetal akinesia deformation sequence 1
C1279481,"combined immunodeficiency, x-linked"
C1280433,lipoatrophy
C1280798,pseudo von willebrand disease
C1282968,von willebrand disease type 2a
C1282971,von willebrand disease type 2b
C1282974,von willebrand disease type 2m
C1282975,von willebrand disease type 2n
C1291329,deficiency of transaldolase
C1291564,deficiency of aromatic-l-amino-acid decarboxylase
C1298820,aortic root aneurysm
C1300260,sponastrime dysplasia
C1302853,squamous cell carcinoma
C1302995,congenital fibrosis of extraocular muscles
C1303073,nicolaides-baraitser syndrome
C1305147,supravalvar aortic stenosis
C1306587,acute encephalopathy
C1306589,"congenital dyserythropoietic anemia, type ii"
Cumapped234,qualitative or quantitative defects of beta-sarcoglycan
C1319466,barber-say syndrome
C1321551,shprintzen-goldberg syndrome
C1327915,congenital amegakaryocytic thrombocytopenia
C1327916,revesz syndrome
C1327919,ataxia-pancytopenia syndrome
C1328061,"myeloproliferative neoplasm, unclassifiable"
C1328840,autoimmune lymphoproliferative syndrome type 1
C1332655,complement component 3 deficiency
C1332900,cerebellar hemangioblastoma
C1333542,crouzon syndrome
C1333990,lynch syndrome 4
Cumapped122,lynch syndrome 5
C1333991,"colorectal cancer, hereditary nonpolyposis, type 2"
C1333992,familial ovarian carcinoma
C1336708,germ cell tumor of testis
C1367536,juvenile nasopharyngeal angiofibroma
C1367578,kennedy disease
C1368898,teratoma
C1384590,hemangiomatosis
C1387005,micropenis
C1389016,atrioventricular septal defect
C1390474,increased susceptibility to fractures
Cumapped84,hereditary intrinsic factor deficiency
Cumapped9,aminoglycoside-induced deafness
C1408258,kidney damage
C1414216,torsion dystonia 6
C1415076,charcot-marie-tooth neuropathy x
C1416612,jervell and lange-nielsen syndrome 1
C1416776,congenital muscular dystrophy
C1420653,macrocytic anemia
C1449563,dilated cardiomyopathy 1a
Cumapped229,pseudohypoaldosteronism type 2e
C1449844,pseudohypoaldosteronism type 2d
C1458140,abnormal bleeding
Cumapped33,bleeding disorder platelet type macrothrombocytopenia
C1510460,orofaciodigital syndrome i
C1510586,autism spectrum disorder
C1512419,familial melanoma
C1527344,dysphonia
C1531773,currarino triad
C1533041,primary congenital glaucoma
C1533847,skeletal myopathy
C1535926,lethal neurodevelopmental disorder
C1536500,deficiency of acetyl-coa acetyltransferase
C1557375,blurred vision
C1563715,andersen tawil syndrome
C1563719,hypogonadotropic hypogonadism 1 with or without anosmia
C1563730,cryptorchidism
C1567741,autosomal recessive alport syndrome
C1567742,x-linked alport syndrome
C1568247,usher syndrome type 1
Cumapped335,usher syndrome type 1j
Cumapped334,usher syndrome type 1g
Cumapped338,usher syndrome type 3a
Cumapped337,usher syndrome type 3
C1608393,"megacystis, microcolon, hypoperistalsis syndrome"
C1609433,bilateral renal agenesis
C1619700,renal hypodysplasia/aplasia 1
C1644196,ectopia lentis et pupillae
C1690006,lattice corneal dystrophy type i
C1691215,penile hypospadias
C1704330,dent disease
C1704375,hypophosphatemic rickets
C1704380,autosomal dominant distal renal tubular acidosis
C1704417,"hypercholesterolemia, autosomal dominant, type b"
C1704423,hereditary lymphedema type i
C1704429,familial hypoalphalipoproteinemia
C1706595,pachyonychia congenita 1
C1708350,hereditary leiomyomatosis and renal cell cancer
C1719788,episodic ataxia type 1
C1720189,hereditary episodic ataxia
C1720416,episodic ataxia type 2
C1720860,"familial partial lipodystrophy, dunnigan type"
C1720862,congenital generalized lipodystrophy type 1
Cumapped90,hyper-igm syndrome type 2
C1721006,epidermolytic palmoplantar keratoderma
C1721007,pachyonychia congenita 2
C1737329,dysmorphism
C1761609,aspiration pneumonia
Cumapped100,idiopathic pulmonary fibrosis
C1801959,histiocytic medullary reticulosis
C1802395,congenital muscular hypertrophy-cerebral syndrome
C1827524,wide intermamillary distance
C1829703,carnitine palmitoyl transferase 1a deficiency
C1832174,doyne honeycomb retinal dystrophy
C1832200,peroxisome biogenesis disorder
C1832274,charcot-marie-tooth disease type 2d
C1832370,desmin-related myofibrillar myopathy
C1832399,charcot-marie-tooth disease type 4b1
C1832409,cold-induced sweating syndrome
C1832432,autosomal recessive amelia
C1832615,neonatal severe primary hyperparathyroidism
C1832648,familial hypoparathyroidism
C1832661,matthew-wood syndrome
C1832702,brachydactyly type a2
C1832736,alg3-congenital disorder of glycosylation
C1832855,dystonia 9
C1832916,long qt syndrome 8
C1832931,arrhythmogenic right ventricular dysplasia 2
C1833104,permanent neonatal diabetes mellitus
C1833144,slender long bone
C1833213,hereditary hyperferritinemia with congenital cataracts
C1833219,charcot-marie-tooth disease type 2b
C1833382,maturity-onset diabetes of the young type 4
C1833661,paroxysmal extreme pain disorder
C1833662,inclusion body myopathy with paget disease of bone and frontotemporal dementia type 1
C1833736,gnathodiaphyseal dysplasia
C1833762,decreased calvarial ossification
C1833921,familial medullary thyroid carcinoma
C1834015,progressive ptosis
C1834055,underdeveloped nasal alae
C1834558,autosomal dominant centronuclear myopathy
Cumapped141,myoclonic dystonia 11
C1834671,facioscapulohumeral muscular dystrophy 2
C1834674,bethlem myopathy 1
C1835265,"microcephaly with or without chorioretinopathy, lymphedema, or intellectual disability"
C1835398,li-fraumeni syndrome 1
C1835672,palmoplantar keratoderma-deafness syndrome
C1835697,keratitis fugax hereditaria
C1835922,aminoacylase 1 deficiency
C1836033,cednik syndrome
C1836123,goldberg-shprintzen megacolon syndrome
C1836150,gait imbalance
C1836156,progressive proximal muscle weakness
C1836284,epidermolysis bullosa simplex with migratory circinate erythema
C1836296,lower limb muscle weakness
C1836542,depressed nasal bridge
C1836543,thick vermilion border
C1836672,hypotrichosis 7
C1836683,"czech dysplasia, metatarsal type"
C1836824,gm3 synthase deficiency
C1836830,developmental regression
C1836842,psychomotor deterioration
C1836860,fanconi anemia complementation group j
C1836861,fanconi anemia complementation group i
C1836876,pierson syndrome
C1836906,arrhythmogenic right ventricular dysplasia 9
C1836923,gastrointestinal dysmotility
C1836996,disproportionate tall stature
C1837260,prominent forehead
C1837396,congenital disorder of glycosylation type 1e
C1837397,severe global developmental delay
C1837402,flat occiput
C1837404,"high, narrow palate"
C1837406,upper limb undergrowth
C1837407,ankle flexion contracture
C1837501,"microcephaly 5, primary, autosomal recessive"
C1837552,charcot-marie-tooth disease axonal type 2l
C1837610,ichthyosis prematurity syndrome
C1837657,spondyloepiphyseal dysplasia with congenital joint dislocations
C1837658,delayed gross motor development
C1837770,sparse hair
C1837785,prominent superficial veins
C1838062,autosomal dominant epilepsy with auditory features
C1838100,maturity-onset diabetes of the young type 3
C1838457,fanconi anemia complementation group d1
C1838577,carasil syndrome
C1838779,eiken syndrome
C1838979,"mitochondrial complex i deficiency, nuclear type 1"
C1839163,thrombocytopenia 1
C1839364,progressive visual loss
C1839463,tarp syndrome
C1839630,severe muscular hypotonia
C1839758,narrow forehead
C1839797,deep philtrum
C1839888,pyruvate dehydrogenase complex deficiency
C1839988,ifap syndrome with or without bresheck syndrome
C1840061,coxopodopatellar syndrome
C1840077,anteverted nares
C1840322,odontohypophosphatasia
C1840365,king denborough syndrome
C1840379,cerebellar vermis hypoplasia
C1840392,"hyperpigmentation with or without hypopigmentation, familial progressive"
C1840437,isolated hyperchlorhidrosis
C1840457,retinal pigment epithelial atrophy
C1840572,"hip dysplasia, beukes type"
C1842028,"glaucoma 1, open angle, a"
C1842090,platelet-type bleeding disorder 10
C1842109,"microcephaly 6, primary, autosomal recessive"
C1842160,myosin storage myopathy
C1842197,charcot-marie-tooth disease recessive intermediate a
C1842237,charcot-marie-tooth disease dominant intermediate c
C1842364,central hypotonia
C1842366,low anterior hairline
C1842398,neutrophil immunodeficiency syndrome
C1842462,campomelic dysplasia with autosomal sex reversal
C1842581,abnormal corpus callosum morphology
C1842763,spondyloenchondrodysplasia with immune dysregulation
C1842876,depressed nasal ridge
C1842914,vitelliform macular dystrophy 3
C1842937,"aural atresia, congenital"
C1842983,charcot-marie-tooth disease axonal type 2k
C1843013,alzheimer disease 3
C1843042,craniolenticulosutural dysplasia
C1843075,charcot-marie-tooth disease dominant intermediate d
C1843116,congenital bile acid synthesis defect 1
C1843153,charcot-marie-tooth disease type 2j
C1843164,charcot-marie-tooth disease type 1f
C1843225,charcot-marie-tooth disease type 2e
C1843247,charcot-marie-tooth disease type 1d
C1843463,annular epidermolytic ichthyosis
C1843496,bilateral microphthalmos
C1843570,tip-toe gait
C1843663,urinary bladder sphincter dysfunction
C1843807,biotin-responsive basal ganglia disease
C1843851,"sensory ataxic neuropathy, dysarthria, and ophthalmoparesis"
C1843891,spinocerebellar ataxia type 21
C1843896,arrhythmogenic right ventricular dysplasia 8
C1843921,postural instability
C1844376,"granulomatous disease, chronic, x-linked"
C1844505,pointed chin
C1844592,soft skin
C1844696,"oto-palato-digital syndrome, type ii"
C1845055,alpha thalassemia-x-linked intellectual disability syndrome
C1845202,nephrogenic syndrome of inappropriate antidiuresis
C1845668,congenital bilateral perisylvian syndrome
C1845837,gata binding protein 1 related thrombocytopenia with dyserythropoiesis
C1845847,coarse facial features
C1845862,cerebral creatine deficiency syndrome
C1845987,x-linked severe congenital neutropenia
C1846423,thick upper lip vermilion
C1846460,abnormal pinna morphology
C1846545,autoimmune lymphoproliferative syndrome type 2b
C1846648,amish lethal microcephaly
C1846821,abnormality of coagulation
C1846862,autosomal dominant parkinson disease 8
C1847013,nephronophthisis 4
C1847024,oculocutaneous albinism type 1b
C1847200,alzheimer disease 4
C1847319,carney-stratakis syndrome
C1847352,bilateral frontoparietal polymicrogyria
C1847501,encephalopathy due to glut1 deficiency
C1847555,hyperinsulinism-hyperammonemia syndrome
C1847584,distal sensory impairment
C1847593,multiple epiphyseal dysplasia type 4
C1847800,waardenburg syndrome type 1
C1847823,charcot-marie-tooth disease axonal type 2f
C1847827,dna ligase iv deficiency
C1847836,oculocutaneous albinism type 4
C1848029,ehlers-danlos syndrome due to tenascin-x deficiency
C1848296,"46,xy sex reversal 2"
C1848395,large for gestational age
C1848488,"otospondylomegaepiphyseal dysplasia, autosomal dominant"
C1848519,waardenburg syndrome type 4a
C1848526,pontocerebellar hypoplasia type 2a
C1848529,hypoplasia of the pons
C1848533,familial isolated deficiency of vitamin e
C1848561,cobalamin c disease
Cumapped336,usher syndrome type 2a
C1848701,elevated hepatic transaminase
C1848736,distal amyotrophy
C1848862,3-m syndrome
C1848873,abnormality of the diaphragm
C1849075,relative macrocephaly
C1849089,broad forehead
C1849096,infantile onset spinocerebellar ataxia
C1849097,loss of ability to walk
C1849140,charlevoix-saguenay spastic ataxia
Cumapped289,spastic ataxia
C1849157,growth delay due to insulin-like growth factor i resistance
C1849193,peeling skin syndrome 1
C1849221,fair hair
C1849265,overgrowth
C1849334,autosomal recessive robinow syndrome
C1849367,wide nasal bridge
C1849437,saldino-mainzer syndrome
C1849508,pyridoxine-dependent epilepsy
Cumapped232,pyridoxine-dependent epilepsy caused by aldh7a1 mutant
C1849718,bartsocas-papas syndrome
C1849722,adult polyglucosan body disease
C1849766,periportal fibrosis
C1849930,persistent mullerian duct syndrome
C1849937,disproportionate short-limb short stature
C1850049,clinodactyly of the 5th finger
C1850055,peho syndrome
C1850100,parkinsonian-pyramidal syndrome
C1850168,bruck syndrome 1
C1850343,mosaic variegated aneuploidy syndrome 1
C1850386,giant axonal neuropathy 1
C1850406,navajo neurohepatopathy
C1850442,neuronal ceroid lipofuscinosis 5
C1850554,atelosteogenesis type ii
C1850601,abnormal brainstem morphology
C1850635,familial atrial myxoma
C1850674,congenital multicore myopathy with external ophthalmoplegia
C1850746,congenital nonprogressive myopathy with moebius and robin sequences
C1850792,congenital myasthenic syndrome 10
C1850938,sorsby fundus dystrophy
C1851481,spinocerebellar ataxia type 34
C1851573,transient bullous dermolysis of the newborn
C1851710,lateral meningocele syndrome
C1851801,"ehlers-danlos syndrome, arthrochalasia type, 2"
C1851897,anterior creases of earlobe
C1851920,dystonia 5
C1852092,type 1 diabetes mellitus 2
C1852093,maturity-onset diabetes of the young type 1
C1852150,adermatoglyphia
Cumapped218,primary failure of tooth eruption
C1852373,mitochondrial encephalopathy
C1852406,beare-stevenson cutis gyrata syndrome
C1852464,abnormality of the cervical spine
C1852510,craniofacial-deafness-hand syndrome
C1852551,epithelial recurrent erosion dystrophy
C1852581,"seizures, benign familial neonatal, 2"
C1852759,renal coloboma syndrome
C1853099,cornelia de lange syndrome 3
C1853120,noonan syndrome 4
C1853124,"nephrotic syndrome, type 3"
C1853144,"deafness with labyrinthine aplasia, microtia, and microdontia"
C1853162,osteogenesis imperfecta type 7
C1853171,multiple prenatal fractures
C1853235,sclerocornea
C1853238,conotruncal defect
C1853242,midface retrusion
C1853249,spinocerebellar ataxia type 28
C1853271,autosomal recessive hypophosphatemic bone disease
C1853354,acral peeling skin syndrome
C1853445,autosomal recessive early-onset parkinson disease 7
C1853487,thick eyebrow
C1853566,genitopatellar syndrome
C1853733,hemochromatosis type 4
C1853736,mogs-congenital disorder of glycosylation
C1853743,axial hypotonia
C1853761,"spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 2"
C1853833,autosomal recessive early-onset parkinson disease 6
C1853926,gne myopathy
Cumapped14,arrhythmogenic cardiomyopathy with woolly hair and keratoderma
C1854065,late-onset retinal degeneration
C1854114,short nose
C1854150,charcot-marie-tooth disease type 2b2
C1854310,hypotrichosis simplex
C1854368,dilated cardiomyopathy 1j
C1854369,spinocerebellar ataxia type 14
C1854380,nemaline myopathy 5
C1854416,macrocephaly-autism syndrome
C1854442,split hand-foot malformation 4
C1854469,noonan syndrome 2
C1854488,spinocerebellar ataxia type 13
C1854630,wiedemann-steiner syndrome
C1854678,lethal multiple pterygium syndrome
Cumapped27,autosomal recessive multiple pterygium syndrome
C1854838,progressive neurologic deterioration
C1854882,absent speech
C1854896,mucolipidosis type iii gamma
C1855081,"microcephaly 1, primary, autosomal recessive"
C1855128,methylcobalamin deficiency type cble
C1855425,oculotrichoanal syndrome
C1855627,haim-munk syndrome
C1855652,fetal growth restriction
C1855663,"oculocerebrofacial syndrome, kaufman type"
C1855710,bone marrow hypocellularity
C1855728,low posterior hairline
C1855772,vici syndrome
Cumapped91,hyperphosphatasia with intellectual disability syndrome 1
C1855923,hyperphosphatasia-intellectual disability syndrome
C1856019,abnormal cortical gyration
C1856058,homocystinuria due to methylene tetrahydrofolate reductase deficiency
C1856113,mowat-wilson syndrome
C1856266,coronal craniosynostosis
C1856408,infantile encephalopathy
C1856409,lateral ventricle dilatation
C1856934,junctional epidermolysis bullosa with pyloric atresia
C1856974,pontocerebellar hypoplasia type 4
C1857100,lethal kniest-like syndrome
C1857484,brachyturricephaly
C1857486,"low-set, posteriorly rotated ears"
C1857569,congenital hereditary endothelial dystrophy of cornea
C1857572,corneal dystrophy-perceptive deafness syndrome
C1857618,achromatopsia 2
C1857640,decreased nerve conduction velocity
C1857662,coach syndrome 1
C1857762,pontocerebellar hypoplasia type 5
C1857802,morm syndrome
C1857941,brooke-spiegler syndrome
C1858084,stickler syndrome type 2
C1858091,long fingers
C1858120,generalized hypotonia
C1858351,spinocerebellar ataxia type 11
C1858361,pyogenic arthritis-pyoderma gangrenosum-acne syndrome
C1858379,arrhythmogenic right ventricular dysplasia 5
C1858392,nephronophthisis 3
C1858477,familial focal epilepsy with variable foci
C1858479,hereditary spastic paraplegia 11
C1858517,autosomal recessive distal spinal muscular atrophy 1
C1858535,"microcephaly 2, primary, autosomal recessive, with or without cortical malformations"
C1858556,mass syndrome
C1858664,hemochromatosis type 3
C1858680,familial encephalopathy with neuroserpin inclusion bodies
C1858726,congenital cataracts-facial dysmorphism-neuropathy syndrome
C1858854,megalencephalic leukoencephalopathy with subcortical cysts 1
C1858915,focal segmental glomerulosclerosis 2
C1859062,long qt syndrome 3
C1859133,rhizomelic chondrodysplasia punctata type 1
C1859148,chondrodysplasia blomstrand type
C1859198,charcot-marie-tooth disease type 4a
C1859341,olivopontocerebellar hypoplasia
C1859460,bowed humerus
C1859461,femoral bowing
C1859486,bietti crystalline corneoretinal dystrophy
C1859568,bardet-biedl syndrome 10
C1859726,arterial tortuosity syndrome
C1859844,leber congenital amaurosis 2
C1860042,congenital adrenal hyperplasia due to cytochrome p450 oxidoreductase deficiency
C1860224,ablepharon macrostomia syndrome
C1860245,cranial asymmetry
C1860335,axillary freckling
C1860339,waardenburg syndrome type 2a
C1860405,snowflake vitreoretinal degeneration
C1860493,abnormal sternum morphology
C1860707,tuberous sclerosis 2
C1860808,triosephosphate isomerase deficiency
C1860834,infantile muscular hypotonia
C1860991,noonan syndrome 3
C1861171,thrombophilia due to activated protein c resistance
C1861453,cryohydrocytosis
C1861456,stiff skin syndrome
C1861732,spinocerebellar ataxia type 29
C1861825,cataract 6 multiple types
C1861861,"cardiomyopathy, familial restrictive, 1"
C1861866,aplasia/hypoplasia of the corpus callosum
C1861922,camptomelic dysplasia
C1862190,blood group--wright antigen
C1862322,southeast asian ovalocytosis
C1862475,abnormality of retinal pigmentation
C1862596,familial hypobetalipoproteinemia 1
C1862939,amyotrophic lateral sclerosis type 1
C1863204,adult syndrome
C1863512,"hypercholesterolemia, familial, 4"
C1863704,hereditary spastic paraplegia 8
C1863844,citrin deficiency
C1863959,familial gestational hyperthyroidism
C1864223,chronic intestinal pseudoobstruction
C1864233,congenital myasthenic syndrome 5
C1864436,muenke syndrome
C1864445,h syndrome
C1864652,mandibulofacial dysostosis-microcephaly syndrome
C1864694,complement component 7 deficiency
C1864723,pyridoxal phosphate-responsive seizures
C1864871,koolen-de vries syndrome
C1864912,deficiency of 2-methylbutyryl-coa dehydrogenase
C1864923,neuronal ceroid lipofuscinosis 8
C1865017,thin upper lip vermilion
Cumapped270,short qt syndrome type 2
C1865119,progressive ventriculomegaly
C1865186,bell-shaped thorax
C1865244,shallow orbits
C1865285,megalencephaly-capillary malformation-polymicrogyria syndrome
C1865349,ethylmalonic encephalopathy
C1865371,severe combined immunodeficiency due to dclre1c deficiency
C1865643,abcb4-related intrahepatic cholestasis
C1865794,rhyns syndrome
C1865872,infantile nephronophthisis
C1865916,bilateral ptosis
C1865974,intestinal hypomagnesemia 1
C1866129,abnormal cerebellum morphology
C1866134,wide anterior fontanel
C1866141,foot dorsiflexor weakness
C1866174,phgdh deficiency
C1866195,downturned corners of mouth
Cumapped45,"ceroid lipofuscinosis, neuronal, 6a"
Cumapped329,"trichothiodystrophy 1, photosensitive"
C1866636,charcot-marie-tooth disease type 4c
C1866730,rhizomelia
C1866785,spheroid body myopathy
C1866994,ulnar-mammary syndrome
C1867114,craniofacial disproportion
C1867981,"porokeratosis 3, disseminated superficial actinic type"
C1868118,orofaciodigital syndrome v
C1868310,pigmented paravenous retinochoroidal atrophy
C1868570,char syndrome
C1868594,perry syndrome
C1868598,cranium bifidum occultum
C1868616,parastremmatic dwarfism
C1868675,autosomal recessive juvenile parkinson disease 2
Cumapped320,thanatophoric dysplasia type 1
C1868679,griscelli syndrome type 2
C1868681,dystonia 12
C1868682,episodic kinesigenic dyskinesia
C1868684,meier-gorlin syndrome
C1868720,periventricular nodular heterotopia
C1869117,paroxysmal nonkinesigenic dyskinesia
C1869123,autosomal recessive limb-girdle muscular dystrophy type 2a
C1876187,familial hyperphosphatemic tumoral calcinosis/hyperphosphatemic hyperostosis syndrome
C1879286,progressive familial heart block
C1883716,delayed puberty
C1955934,trichothiodystrophy
C1956097,4p partial monosomy syndrome
C1959582,pten hamartoma tumor syndrome
C1959620,dihydropyrimidine dehydrogenase deficiency
C1960469,left ventricular noncompaction
C1962963,osteoporosis
C1962972,proteinuria
C1962983,cataract
C1963079,restrictive cardiomyopathy
C1963137,hydrocephalus
C1963185,obesity
C1969057,noonan syndrome 5
C1969443,mitochondrial trifunctional protein deficiency
C1969623,legius syndrome
C1969653,mungan syndrome
C1969809,deficiency of isobutyryl-coa dehydrogenase
C1970173,acyl-coa dehydrogenase 9 deficiency
C1970431,pitt-hopkins syndrome
C1970827,phosphoribosylpyrophosphate synthetase superactivity
C2004491,scarring
C2020284,stickler syndrome type 1
C2072946,aortic aneurysm
C2108109,sinus tachycardia
C2112942,preaxial foot polydactyly
C2117411,syndactyly
C2132198,abnormal blistering of the skin
C2228238,epistaxis
C2237142,moderate global developmental delay
C2239176,hepatocellular carcinoma
C2242996,paresthesia
C2267233,neonatal hypotonia
C2584774,congenital afibrinogenemia
C2607929,"carney complex, type 1"
C2608083,benign recurrent intrahepatic cholestasis type 2
C2609268,low phospholipid associated cholelithiasis
C2673196,lipoprotein glomerulopathy
C2673677,early-onset myopathy with fatal cardiomyopathy
C2673885,nphp3-related meckel-like syndrome
C2673913,microcytic anemia with liver iron overload
C2673946,foveal hypoplasia
C2674171,lethal short-limbed short stature
C2674218,hereditary spherocytosis type 1
C2674432,reduced bone mineral density
C2674705,multicentric carpo-tarsal osteolysis with or without nephropathy
C2674723,autoimmune lymphoproliferative syndrome type 4
C2675179,arginine:glycine amidinotransferase deficiency
C2676137,diamond-blackfan anemia 1
C2676191,familial isolated pituitary adenoma
C2676244,hypomyelinating leukodystrophy 6
C2676254,"epilepsy, progressive myoclonic, 1b"
C2676739,chromosome 2q32-q33 deletion syndrome
C2676780,fontaine progeroid syndrome
Cumapped58,crouzon syndrome-acanthosis nigricans syndrome
C2677190,"skin/hair/eye pigmentation 3, light/dark skin"
C2677328,cerebral hypomyelination
C2677565,amyotrophic lateral sclerosis type 10
C2677567,dystonia 16
C2677590,rft1-congenital disorder of glycosylation
C2677608,thrombocytopenia 4
C2678065,myofibrillar myopathy 8
C2678194,christianson syndrome
C2681923,retinitis pigmentosa 2
C2697932,loeys-dietz syndrome
C2699510,ectrodactyly
C2699746,synpolydactyly type 1
C2700425,"ehlers-danlos syndrome, dermatosparaxis type"
C2717905,hereditary angioedema type 1
C2745948,hyaline fibromatosis syndrome
C2745959,spondyloepiphyseal dysplasia
C2745997,orofaciodigital syndrome type 6
C2746066,l-2-hydroxyglutaric aciduria
Cumapped1,2-hydroxyglutaric aciduria
C2746069,familial ectopia lentis
C2748572,east syndrome
C2748910,atypical rett syndrome
C2749757,bronchiectasis with or without elevated sweat chloride 1
C2750035,"emery-dreifuss muscular dystrophy 3, autosomal recessive"
C2750061,"hypokalemic periodic paralysis, type 2"
C2750078,"hypophosphatemic rickets, autosomal recessive, 2"
C2750785,congenital muscular dystrophy due to lmna mutation
C2751067,"parkinsonism-dystonia, infantile"
C2751260,macrothrombocytopenia
C2751306,polycystic kidney disease 2
C2751313,clapo syndrome
C2751318,nijmegen breakage syndrome-like disorder
C2751536,"cerebral amyloid angiopathy, app-related"
C2751584,cerebral folate transport deficiency
C2751666,bronchiectasis with or without elevated sweat chloride 2
C2752015,pgm1-congenital disorder of glycosylation
C2752042,cloves syndrome
C2752089,"neuropathy, hereditary sensory and autonomic, type 2a"
C2752147,"xeroderma pigmentosum, group c"
C2919142,short stature
C2919796,glycogen storage disease due to glucose-6-phosphatase deficiency type ia
C2919945,cerebral cavernous malformation
C2930812,autosomal recessive cutis laxa type 2c
C2931001,alg12-congenital disorder of glycosylation
C2931002,alg8 congenital disorder of glycosylation
Cumapped8,alg6-congenital disorder of glycosylation 1c
C2931010,cog7 congenital disorder of glycosylation
C2931048,greenberg dysplasia
C2931067,"cholestasis, progressive familial intrahepatic, 4"
Cumapped332,type 2 collagenopathy
C2931093,osteogenesis imperfecta type 5
C2931117,fetal megacystis
C2931132,"crigler-najjar syndrome, type ii"
C2931187,nephropathic cystinosis
C2931206,usher syndrome type 1b
C2931210,usher syndrome type 1f
C2931246,potocki-lupski syndrome
C2931258,leber congenital amaurosis 1
C2931441,infantile-onset ascending hereditary spastic paralysis
C2931482,neurofibromatosis-noonan syndrome
Cumapped77,gaucher disease-ophthalmoplegia-cardiovascular calcification syndrome
C2931788,atypical hemolytic-uremic syndrome
C2931822,nasopharyngeal carcinoma
C2931826,potassium-aggravated myotonia
C2932715,pseudohypoparathyroidism type 1b
C2936331,sarcoglycanopathy
Cumapped89,hyper-ige syndrome
C2936781,"congenital myotonia, autosomal dominant form"
C2936783,lynch syndrome 1
C2936791,antley-bixler syndrome without genital anomalies or disordered steroidogenesis
Cumapped363,x-linked opitz g/bbb syndrome
C2937358,intracerebral hemorrhage
C2939175,meconium ileus
C2939416,pectus carinatum
C2940786,thyroid hormone resistance syndrome
C2973725,pulmonary arterial hypertension
C2981140,glaucoma of childhood
C2984299,asthma
C2986658,diffuse intrinsic pontine glioma
Cumapped136,"muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a2"
Cumapped137,"muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a5"
C3150613,long toe
C3150653,fanconi anemia complementation group o
Cumapped10,amyotrophic lateral sclerosis type 12
C3150705,"rett syndrome, congenital variant"
C3150754,glycogen storage disease xv
C3150796,nephronophthisis 11
C3150878,primary hyperoxaluria type 3
C3150896,"neuropathy, hereditary sensory and autonomic, type 1c"
C3150902,c1q deficiency
C3150926,congenital dyserythropoietic anemia type 4
C3150943,long qt syndrome 2
C3150972,"neuropathy, hereditary sensory, type 1d"
C3151140,pontocerebellar hypoplasia type 2d
C3151185,asphyxiating thoracic dystrophy 4
C3151186,nephronophthisis 12
C3151201,multisystemic smooth muscle dysfunction syndrome
C3151519,"muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a3"
C3160718,"parkinson disease, late-onset"
C3160733,thrombophilia due to thrombin defect
C3160738,fanconi anemia complementation group d2
C3160739,fanconi anemia complementation group e
C3161174,hemoglobin h disease
C3179239,autosomal dominant osteopetrosis 2
C3264621,ivacaftor response - efficacy
C3266731,hsd10 mitochondrial disease
C3266898,waardenburg syndrome
C3275447,ogden syndrome
C3275459,amyotrophic lateral sclerosis type 15
C3275508,multiple congenital anomalies-hypotonia-seizures syndrome 2
Cumapped78,generalized choriocapillaris dystrophy
C3275899,hyperechogenic kidneys
C3277940,generalized hypertrichosis
C3278123,severe hydrocephalus
C3278204,dysmyelinating leukodystrophy
C3278923,ventriculomegaly
C3279439,recurrent spontaneous abortion
C3279664,deafness-lymphedema-leukemia syndrome
C3280030,monocytopenia with susceptibility to infections
C3280036,"meckel syndrome, type 10"
C3280296,microcephaly-capillary malformation syndrome
C3280314,combined malonic and methylmalonic acidemia
C3280428,alpha-methylacyl-coa racemase deficiency
C3280612,nephronophthisis 13
C3280797,charcot-marie-tooth disease axonal type 2p
C3280914,familial cold autoinflammatory syndrome 3
C3281034,multifocal seizures
Cumapped140,myelodysplastic syndrome progressed to acute myeloid leukemia
C3463916,factor i deficiency
C3463992,"developmental and epileptic encephalopathy, 1"
C3468041,fanconi anemia complementation group c
C3468114,juvenile amyotrophic lateral sclerosis
C3469521,fanconi anemia complementation group a
C3469522,"breast cancer, susceptibility to"
C3469524,"prostate cancer, susceptibility to"
C3489532,cone-rod dystrophy 2
C3489726,geleophysic dysplasia
C3489789,familial intrahepatic cholestasis type 2
C3489796,"thyroid hormone resistance, generalized, autosomal recessive"
C3494187,hereditary factor viii deficiency disease
C3494506,pseudohypoparathyroidism type i a
C3494976,malignant migrating partial seizures of infancy
C3495427,fanconi-bickel syndrome
C3495498,hypertrophic cardiomyopathy 1
C3495549,patent ductus arteriosus
C3495559,juvenile arthritis due to defect in lacc1
C3495589,jalili syndrome
C3496337,idiopathic nephrotic syndrome
C3502075,fatal multiple mitochondrial dysfunctions syndrome
C3502809,generalized epilepsy with febrile seizures plus
C3536911,inherited prion disease
C3536984,familial x-linked hypophosphatemic vitamin d refractory rickets
C3541853,nephronophthisis 15
C3550903,cornelia de lange syndrome 5
C3553517,cornelia de lange syndrome 4
C3553794,spermatogenic failure 58
